file_path,file_name,malicious_status,malicious_probability
source\python-packages-1757595213589\source\pip\_vendor\distlib\__init__.py,__init__.py,benign,0.018873685970902443
source\python-packages-1757595213589\source\pip\_vendor\distro\distro.py,distro.py,benign,0.004213596228510141
source\python-packages-1757595213589\source\pip\_vendor\distro\__init__.py,__init__.py,benign,0.01562926545739174
source\python-packages-1757595213589\source\pip\_vendor\distro\__main__.py,__main__.py,benign,0.0248014684766531
source\python-packages-1757595213589\source\pip\_vendor\idna\codec.py,codec.py,benign,0.014917949214577675
source\python-packages-1757595213589\source\pip\_vendor\idna\compat.py,compat.py,benign,0.03056468814611435
source\python-packages-1757595213589\source\pip\_vendor\idna\core.py,core.py,benign,0.03236826881766319
source\python-packages-1757595213589\source\pip\_vendor\idna\idnadata.py,idnadata.py,benign,0.016197726130485535
source\python-packages-1757595213589\source\pip\_vendor\idna\intranges.py,intranges.py,benign,0.040316008031368256
source\python-packages-1757595213589\source\pip\_vendor\idna\package_data.py,package_data.py,malicious,0.9527007341384888
source\python-packages-1757595213589\source\pip\_vendor\idna\uts46data.py,uts46data.py,benign,0.008555587381124496
source\python-packages-1757595213589\source\pip\_vendor\idna\__init__.py,__init__.py,benign,0.017962263897061348
source\python-packages-1757595213589\source\pip\_vendor\msgpack\exceptions.py,exceptions.py,benign,0.00842349324375391
source\python-packages-1757595213589\source\pip\_vendor\msgpack\ext.py,ext.py,benign,0.0038691225927323103
source\python-packages-1757595213589\source\pip\_vendor\msgpack\fallback.py,fallback.py,benign,0.058219969272613525
source\python-packages-1757595213589\source\pip\_vendor\msgpack\__init__.py,__init__.py,benign,0.00464742723852396
source\python-packages-1757595213589\source\pip\_vendor\packaging\markers.py,markers.py,benign,0.013308643363416195
source\python-packages-1757595213589\source\pip\_vendor\packaging\metadata.py,metadata.py,benign,0.006351078860461712
source\python-packages-1757595213589\source\pip\_vendor\packaging\requirements.py,requirements.py,benign,0.006855610758066177
source\python-packages-1757595213589\source\pip\_vendor\packaging\specifiers.py,specifiers.py,benign,0.019138040021061897
source\python-packages-1757595213589\source\pip\_vendor\packaging\tags.py,tags.py,benign,0.011354031972587109
source\python-packages-1757595213589\source\pip\_vendor\packaging\utils.py,utils.py,benign,0.03620937466621399
source\python-packages-1757595213589\source\pip\_vendor\packaging\version.py,version.py,benign,0.024151332676410675
source\python-packages-1757595213589\source\pip\_vendor\packaging\_elffile.py,_elffile.py,benign,0.047092609107494354
source\python-packages-1757595213589\source\pip\_vendor\packaging\_manylinux.py,_manylinux.py,benign,0.07342570275068283
source\python-packages-1757595213589\source\pip\_vendor\packaging\_musllinux.py,_musllinux.py,benign,0.01271313987672329
